Date,Recording.Day.of.Week,Lagged.Day.of.Week,Shift,Arrivals,Departures,Occupancy,Guests.per.Occ.,NCGR,Service.Events
6/5/2023,Monday,Monday,PM,24,0,82,0.926829268,0,70
6/6/2023,Tuesday,Tuesday,PM,17,0,96,0.916666667,0,70
6/10/2023,Saturday,Saturday,PM,7,0,54,0.814814815,0,43
6/12/2023,Monday,Monday,PM,30,0,74,0.702702703,0,60
6/13/2023,Tuesday,Tuesday,PM,17,0,82,0.62195122,0,62
6/15/2023,Thursday,Thursday,PM,17,0,68,0.676470588,0,70
6/16/2023,Friday,Friday,PM,18,0,51,0.745098039,0,60
6/17/2023,Saturday,Saturday,PM,7,0,49,0.612244898,0,49
6/18/2023,Sunday,Sunday,PM,15,0,39,0.564102564,0,26
6/19/2023,Monday,Monday,PM,22,0,75,0.32,0,75
6/20/2023,Tuesday,Tuesday,PM,20,0,96,0.1875,0,74
6/21/2023,Wednesday,Wednesday,AM,19,21,51,0.470588235,0,92
6/22/2023,Thursday,Thursday,PM,12,0,41,0.609756098,0,54
6/23/2023,Friday,Friday,PM,15,0,40,0.875,0,53
6/25/2023,Sunday,Sunday,PM,12,0,51,0.607843137,0,36
6/26/2023,Monday,Monday,PM,16,0,62,0.516129032,0,53
6/27/2023,Tuesday,Tuesday,PM,27,0,83,0.590361446,0,109
6/29/2023,Thursday,Thursday,PM,9,0,82,1.268292683,0,53
6/30/2023,Friday,Friday,PM,4,0,65,1.553846154,2,69
7/1/2023,Saturday,Saturday,PM,9,0,62,1.790322581,24,60
7/2/2023,Sunday,Sunday,PM,19,0,55,1.890909091,26,65
7/3/2023,Monday,Monday,PM,7,0,45,1.866666667,25,59
7/4/2023,Tuesday,Tuesday,AM,6,8,42,1.880952381,26,52
7/4/2023,Tuesday,Tuesday,PM,4,0,44,1.795454545,11,31
7/5/2023,Wednesday,Wednesday,PM,5,0,44,1.704545455,16,45
7/6/2023,Thursday,Thursday,PM,9,0,33,1.272727273,17,42
7/7/2023,Friday,Friday,PM,8,0,26,1.307692308,17,32
7/9/2023,Sunday,Sunday,PM,5,0,20,1.05,0,40
7/11/2023,Tuesday,Tuesday,PM,20,0,61,0.704918033,0,72
7/12/2023,Wednesday,Wednesday,PM,16,0,64,0.75,0,88
7/13/2023,Thursday,Thursday,PM,6,0,51,0.843137255,1,44
7/14/2023,Friday,Friday,PM,11,0,54,0.814814815,2,62
7/15/2023,Saturday,Saturday,PM,15,0,57,0.894736842,2,69
7/16/2023,Sunday,Sunday,PM,21,0,62,0.774193548,2,62
7/17/2023,Monday,Monday,PM,26,0,84,0.476190476,2,85
7/18/2023,Tuesday,Tuesday,PM,18,0,100,0.39,0,94
7/19/2023,Wednesday,Wednesday,PM,23,0,83,1.253012048,0,83
7/20/2023,Thursday,Thursday,PM,13,0,72,1.305555556,0,58
7/21/2023,Friday,Friday,PM,10,0,47,1.617021277,0,50
7/24/2023,Monday,Monday,PM,20,0,63,1.063492063,0,63
7/26/2023,Wednesday,Wednesday,AM,22,13,95,1.294736842,0,39
7/26/2023,Wednesday,Wednesday,PM,17,0,97,1.268041237,0,84
7/27/2023,Thursday,Thursday,PM,12,0,78,1.256410256,0,48
7/28/2023,Friday,Friday,PM,24,0,64,1.6875,0,58
7/31/2023,Monday,Monday,PM,27,0,59,1.288135593,0,59
8/1/2023,Tuesday,Tuesday,PM,22,0,74,1.094594595,0,65
8/2/2023,Wednesday,Wednesday,PM,29,0,81,1.098765432,0,77
8/3/2023,Thursday,Thursday,AM,14,36,60,1.383333333,0,45
8/3/2023,Thursday,Thursday,PM,13,0,65,1.276923077,0,52
8/4/2023,Friday,Friday,PM,20,0,39,1.58974359,0,48
8/6/2023,Sunday,Sunday,PM,19,0,45,1.222222222,0,39
8/8/2023,Tuesday,Tuesday,PM,34,0,100,1.13,0,95
8/9/2023,Wednesday,Wednesday,PM,20,0,85,1.317647059,2,61
8/10/2023,Thursday,Thursday,PM,18,0,73,1.849315068,11,74
8/12/2023,Saturday,Saturday,PM,21,0,71,1.943661972,21,98
8/13/2023,Sunday,Sunday,PM,18,0,47,1.340425532,3,58
8/14/2023,Monday,Monday,PM,35,0,85,1.141176471,0,118
8/15/2023,Tuesday,Tuesday,PM,23,0,93,1.11827957,0,104
8/16/2023,Wednesday,Wednesday,PM,25,0,94,1.138297872,0,108
8/17/2023,Thursday,Thursday,PM,21,0,77,1.168831169,0,77
8/18/2023,Friday,Friday,PM,25,0,78,1.230769231,0,63
8/19/2023,Saturday,Saturday,PM,17,0,63,1.412698413,2,60
8/22/2023,Tuesday,Tuesday,PM,16,0,84,1.05952381,0,54
8/23/2023,Wednesday,Wednesday,PM,19,0,83,1.024096386,0,77
8/24/2023,Thursday,Thursday,PM,12,0,51,1.019607843,0,44
8/25/2023,Friday,Friday,PM,13,0,43,1.488372093,0,34
8/26/2023,Saturday,Saturday,PM,11,0,53,1.452830189,0,55
8/27/2023,Sunday,Sunday,PM,26,0,59,1.559322034,0,70
8/28/2023,Monday,Monday,PM,14,0,63,1.365079365,0,66
8/29/2023,Tuesday,Tuesday,PM,35,0,95,1.021052632,0,87
